x,y
0.00,25.85
1.00,27.07
2.00,28.29
3.00,29.51
4.00,30.73
5.00,31.95
6.00,33.17
7.00,34.39
8.00,35.61
9.00,36.83
10.00,38.05
11.00,39.27
12.00,40.49
13.00,41.71
14.00,42.93
15.00,44.15
16.00,45.37
17.00,46.59
18.00,47.81
19.00,49.03
20.00,50.25
21.00,51.47
22.00,52.69
23.00,53.91
24.00,55.13
25.00,56.35
26.00,57.57
27.00,58.79
28.00,60.01
29.00,61.23
30.00,62.45
31.00,63.67
32.00,64.89
33.00,66.11
34.00,67.33
35.00,68.55
36.00,69.77
37.00,70.99
38.00,72.21
39.00,73.43
40.00,74.65
41.00,75.87
42.00,77.09
43.00,78.31
44.00,79.53
45.00,80.75
46.00,81.97
47.00,83.19
48.00,84.41
49.00,85.63
50.00,86.85
51.00,88.07
52.00,89.29
53.00,90.51
54.00,91.73
55.00,92.95
56.00,94.17
57.00,95.39
58.00,96.61
59.00,97.83
60.00,99.05
61.00,100.27
62.00,101.49
63.00,102.71
64.00,103.93
65.00,105.15
66.00,106.37
67.00,107.59
68.00,108.81
69.00,110.03
70.00,111.25
71.00,112.47
72.00,113.69
73.00,114.91
74.00,116.13
75.00,117.35
76.00,118.57
77.00,119.79
78.00,121.01
79.00,122.23
80.00,123.45
81.00,124.67
82.00,125.89
83.00,127.11
84.00,128.33
85.00,129.55
86.00,130.77
87.00,131.99
88.00,133.21
89.00,134.43
90.00,135.65
91.00,136.87
92.00,138.09
93.00,139.31
94.00,140.53
95.00,141.75
96.00,142.97
97.00,144.19
98.00,145.41
99.00,146.63
