x,y
0.00,22.00
1.00,23.40
2.00,24.80
3.00,26.20
4.00,27.60
5.00,29.00
6.00,30.40
7.00,31.80
8.00,33.20
9.00,34.60
10.00,36.00
11.00,37.40
12.00,38.80
13.00,40.20
14.00,41.60
15.00,43.00
16.00,44.40
17.00,45.80
18.00,47.20
19.00,48.60
20.00,50.00
21.00,51.40
22.00,52.80
23.00,54.20
24.00,55.60
25.00,57.00
26.00,58.40
27.00,59.80
28.00,61.20
29.00,62.60
30.00,64.00
31.00,65.40
32.00,66.80
33.00,68.20
34.00,69.60
35.00,71.00
36.00,72.40
37.00,73.80
38.00,75.20
39.00,76.60
40.00,78.00
41.00,79.40
42.00,80.80
43.00,82.20
44.00,83.60
45.00,85.00
46.00,86.40
47.00,87.80
48.00,89.20
49.00,90.60
50.00,92.00
51.00,93.40
52.00,94.80
53.00,96.20
54.00,97.60
55.00,99.00
56.00,100.40
57.00,101.80
58.00,103.20
59.00,104.60
60.00,106.00
61.00,107.40
62.00,108.80
63.00,110.20
64.00,111.60
65.00,113.00
66.00,114.40
67.00,115.80
68.00,117.20
69.00,118.60
70.00,120.00
71.00,121.40
72.00,122.80
73.00,124.20
74.00,125.60
75.00,127.00
76.00,128.40
77.00,129.80
78.00,131.20
79.00,132.60
80.00,134.00
81.00,135.40
82.00,136.80
83.00,138.20
84.00,139.60
85.00,141.00
86.00,142.40
87.00,143.80
88.00,145.20
89.00,146.60
90.00,148.00
91.00,149.40
92.00,150.80
93.00,152.20
94.00,153.60
95.00,155.00
96.00,156.40
97.00,157.80
98.00,159.20
99.00,160.60
