x,y
0.00,25.00
1.00,26.20
2.00,27.40
3.00,28.60
4.00,29.80
5.00,31.00
6.00,32.20
7.00,33.40
8.00,34.60
9.00,35.80
10.00,37.00
11.00,38.20
12.00,39.40
13.00,40.60
14.00,41.80
15.00,43.00
16.00,44.20
17.00,45.40
18.00,46.60
19.00,47.80
20.00,49.00
21.00,50.20
22.00,51.40
23.00,52.60
24.00,53.80
25.00,55.00
26.00,56.20
27.00,57.40
28.00,58.60
29.00,59.80
30.00,61.00
31.00,62.20
32.00,63.40
33.00,64.60
34.00,65.80
35.00,67.00
36.00,68.20
37.00,69.40
38.00,70.60
39.00,71.80
40.00,73.00
41.00,74.20
42.00,75.40
43.00,76.60
44.00,77.80
45.00,79.00
46.00,80.20
47.00,81.40
48.00,82.60
49.00,83.80
50.00,85.00
51.00,86.20
52.00,87.40
53.00,88.60
54.00,89.80
55.00,91.00
56.00,92.20
57.00,93.40
58.00,94.60
59.00,95.80
60.00,97.00
61.00,98.20
62.00,99.40
63.00,100.60
64.00,101.80
65.00,103.00
66.00,104.20
67.00,105.40
68.00,106.60
69.00,107.80
70.00,109.00
71.00,110.20
72.00,111.40
73.00,112.60
74.00,113.80
75.00,115.00
76.00,116.20
77.00,117.40
78.00,118.60
79.00,119.80
80.00,121.00
81.00,122.20
82.00,123.40
83.00,124.60
84.00,125.80
85.00,127.00
86.00,128.20
87.00,129.40
88.00,130.60
89.00,131.80
90.00,133.00
91.00,134.20
92.00,135.40
93.00,136.60
94.00,137.80
95.00,139.00
96.00,140.20
97.00,141.40
98.00,142.60
99.00,143.80
